task,seed,architecture,train_loss,val_loss,val_accuracy
modular_addition,42,transformer,2.313847,2.311828,0.078125
modular_addition,42,lstm,0.007115,0.005768,1.0
modular_addition,42,gru,0.006521,0.005939,1.0
modular_addition,43,transformer,2.316621,2.307403,0.117188
modular_addition,43,lstm,0.005735,0.004842,1.0
modular_addition,43,gru,0.117291,0.100251,0.962891
modular_addition,44,transformer,2.31593,2.307796,0.097656
modular_addition,44,lstm,0.037116,0.020183,0.994141
modular_addition,44,gru,0.05018,0.031375,1.0
modular_addition,45,transformer,2.316079,2.302726,0.117188
modular_addition,45,lstm,0.097962,0.074585,0.972656
modular_addition,45,gru,0.135018,0.084953,1.0
modular_addition,46,transformer,2.316717,2.308135,0.097656
modular_addition,46,lstm,0.005842,0.005068,1.0
modular_addition,46,gru,0.018537,0.012902,1.0
modular_addition,47,transformer,2.316577,2.300393,0.109375
modular_addition,47,lstm,0.007461,0.005796,1.0
modular_addition,47,gru,0.005579,0.004953,1.0
modular_addition,48,transformer,2.315613,2.313931,0.078125
modular_addition,48,lstm,0.083248,0.096666,0.955078
modular_addition,48,gru,0.005623,0.0051,1.0
modular_addition,49,transformer,2.313023,2.30257,0.101562
modular_addition,49,lstm,0.006697,0.006193,1.0
modular_addition,49,gru,0.006055,0.005829,1.0
dyck_1,42,transformer,0.538286,0.542761,0.767578
dyck_1,42,lstm,0.001191,0.000378,1.0
dyck_1,42,gru,0.404966,0.335301,0.8125
dyck_1,43,transformer,0.537604,0.543228,0.767578
dyck_1,43,lstm,0.000244,0.000155,1.0
dyck_1,43,gru,0.538674,0.543781,0.767578
dyck_1,44,transformer,0.537537,0.549882,0.767578
dyck_1,44,lstm,0.000367,0.000222,1.0
dyck_1,44,gru,0.536821,0.549137,0.767578
dyck_1,45,transformer,0.538194,0.544293,0.767578
dyck_1,45,lstm,0.000199,0.000117,1.0
dyck_1,45,gru,0.00169,0.000767,1.0
dyck_1,46,transformer,0.537015,0.542191,0.767578
dyck_1,46,lstm,0.000591,0.000559,1.0
dyck_1,46,gru,0.067246,0.004367,1.0
dyck_1,47,transformer,0.537433,0.543316,0.767578
dyck_1,47,lstm,0.000564,0.000335,1.0
dyck_1,47,gru,0.531993,0.530673,0.767578
dyck_1,48,transformer,0.537063,0.542677,0.767578
dyck_1,48,lstm,0.000445,0.000255,1.0
dyck_1,48,gru,0.533619,0.536248,0.767578
dyck_1,49,transformer,0.538588,0.542546,0.767578
dyck_1,49,lstm,0.000375,0.000239,1.0
dyck_1,49,gru,0.054667,0.034012,0.992188
dyck_2,42,transformer,0.506531,0.510106,0.792969
dyck_2,42,lstm,0.074835,0.048098,0.984375
dyck_2,42,gru,0.37926,0.300193,0.814453
dyck_2,43,transformer,0.506065,0.510309,0.792969
dyck_2,43,lstm,0.064166,0.020658,0.996094
dyck_2,43,gru,0.506093,0.510026,0.792969
dyck_2,44,transformer,0.507066,0.51451,0.792969
dyck_2,44,lstm,0.090264,0.097597,0.966797
dyck_2,44,gru,0.50708,0.514681,0.792969
dyck_2,45,transformer,0.507403,0.511597,0.792969
dyck_2,45,lstm,0.076049,0.044249,0.984375
dyck_2,45,gru,0.16921,0.172839,0.896484
dyck_2,46,transformer,0.506406,0.510215,0.792969
dyck_2,46,lstm,0.075933,0.046913,0.984375
dyck_2,46,gru,0.336767,0.310127,0.925781
dyck_2,47,transformer,0.505523,0.512892,0.792969
dyck_2,47,lstm,0.040857,0.040367,0.984375
dyck_2,47,gru,0.088425,0.067856,0.984375
dyck_2,48,transformer,0.506051,0.511941,0.792969
dyck_2,48,lstm,0.010121,0.015177,0.996094
dyck_2,48,gru,0.288578,0.214884,0.908203
dyck_2,49,transformer,0.507397,0.511359,0.792969
dyck_2,49,lstm,0.053745,0.032832,0.988281
dyck_2,49,gru,0.07809,0.063703,0.984375
induction,42,transformer,1.393419,1.388312,0.257812
induction,42,lstm,0.710286,0.734638,0.537109
induction,42,gru,0.612356,0.603423,0.671875
induction,43,transformer,1.387279,1.386312,0.257812
induction,43,lstm,0.710344,0.72074,0.513672
induction,43,gru,0.696451,0.694317,0.53125
induction,44,transformer,1.391481,1.391518,0.236328
induction,44,lstm,0.705959,0.70297,0.544922
