task,seed,architecture,layer,target_name,num_classes,train_accuracy,val_accuracy
modular_addition,42,transformer,embedding,answer_class,10,0.217773,0.201172
modular_addition,42,transformer,layer_1,answer_class,10,0.981445,0.966797
modular_addition,42,transformer,layer_2,answer_class,10,0.927734,0.914062
modular_addition,42,lstm,embedding,answer_class,10,0.217773,0.201172
modular_addition,42,lstm,layer_1,answer_class,10,1.0,1.0
modular_addition,42,lstm,layer_2,answer_class,10,1.0,1.0
modular_addition,42,gru,embedding,answer_class,10,0.217773,0.201172
modular_addition,42,gru,layer_1,answer_class,10,1.0,1.0
modular_addition,42,gru,layer_2,answer_class,10,1.0,1.0
modular_addition,43,transformer,embedding,answer_class,10,0.217773,0.201172
modular_addition,43,transformer,layer_1,answer_class,10,0.626465,0.611328
modular_addition,43,transformer,layer_2,answer_class,10,1.0,1.0
modular_addition,43,lstm,embedding,answer_class,10,0.217773,0.201172
modular_addition,43,lstm,layer_1,answer_class,10,1.0,1.0
modular_addition,43,lstm,layer_2,answer_class,10,1.0,1.0
modular_addition,43,gru,embedding,answer_class,10,0.217773,0.201172
modular_addition,43,gru,layer_1,answer_class,10,1.0,1.0
modular_addition,43,gru,layer_2,answer_class,10,1.0,1.0
modular_addition,44,transformer,embedding,answer_class,10,0.217773,0.201172
modular_addition,44,transformer,layer_1,answer_class,10,0.584473,0.560547
modular_addition,44,transformer,layer_2,answer_class,10,0.895996,0.888672
modular_addition,44,lstm,embedding,answer_class,10,0.217773,0.201172
modular_addition,44,lstm,layer_1,answer_class,10,1.0,1.0
modular_addition,44,lstm,layer_2,answer_class,10,1.0,1.0
modular_addition,44,gru,embedding,answer_class,10,0.217773,0.201172
modular_addition,44,gru,layer_1,answer_class,10,1.0,1.0
modular_addition,44,gru,layer_2,answer_class,10,1.0,1.0
modular_addition,45,transformer,embedding,answer_class,10,0.217773,0.201172
modular_addition,45,transformer,layer_1,answer_class,10,0.802246,0.798828
modular_addition,45,transformer,layer_2,answer_class,10,0.86377,0.841797
modular_addition,45,lstm,embedding,answer_class,10,0.217773,0.201172
modular_addition,45,lstm,layer_1,answer_class,10,1.0,1.0
modular_addition,45,lstm,layer_2,answer_class,10,1.0,1.0
modular_addition,45,gru,embedding,answer_class,10,0.217773,0.201172
modular_addition,45,gru,layer_1,answer_class,10,1.0,1.0
modular_addition,45,gru,layer_2,answer_class,10,1.0,1.0
modular_addition,46,transformer,embedding,answer_class,10,0.217773,0.201172
modular_addition,46,transformer,layer_1,answer_class,10,0.953125,0.917969
modular_addition,46,transformer,layer_2,answer_class,10,0.90625,0.871094
modular_addition,46,lstm,embedding,answer_class,10,0.217773,0.201172
modular_addition,46,lstm,layer_1,answer_class,10,1.0,1.0
modular_addition,46,lstm,layer_2,answer_class,10,1.0,1.0
modular_addition,46,gru,embedding,answer_class,10,0.217773,0.201172
modular_addition,46,gru,layer_1,answer_class,10,1.0,1.0
modular_addition,46,gru,layer_2,answer_class,10,1.0,1.0
modular_addition,47,transformer,embedding,answer_class,10,0.217773,0.201172
modular_addition,47,transformer,layer_1,answer_class,10,0.681641,0.654297
modular_addition,47,transformer,layer_2,answer_class,10,0.761719,0.728516
modular_addition,47,lstm,embedding,answer_class,10,0.217773,0.201172
modular_addition,47,lstm,layer_1,answer_class,10,1.0,1.0
modular_addition,47,lstm,layer_2,answer_class,10,1.0,1.0
modular_addition,47,gru,embedding,answer_class,10,0.217773,0.201172
modular_addition,47,gru,layer_1,answer_class,10,1.0,1.0
modular_addition,47,gru,layer_2,answer_class,10,1.0,1.0
modular_addition,48,transformer,embedding,answer_class,10,0.217773,0.201172
modular_addition,48,transformer,layer_1,answer_class,10,0.695312,0.6875
modular_addition,48,transformer,layer_2,answer_class,10,0.993652,1.0
modular_addition,48,lstm,embedding,answer_class,10,0.217773,0.201172
modular_addition,48,lstm,layer_1,answer_class,10,1.0,1.0
modular_addition,48,lstm,layer_2,answer_class,10,1.0,1.0
modular_addition,48,gru,embedding,answer_class,10,0.217773,0.201172
modular_addition,48,gru,layer_1,answer_class,10,1.0,1.0
modular_addition,48,gru,layer_2,answer_class,10,1.0,1.0
modular_addition,49,transformer,embedding,answer_class,10,0.217773,0.201172
modular_addition,49,transformer,layer_1,answer_class,10,0.759766,0.714844
modular_addition,49,transformer,layer_2,answer_class,10,0.925293,0.902344
modular_addition,49,lstm,embedding,answer_class,10,0.217773,0.201172
modular_addition,49,lstm,layer_1,answer_class,10,1.0,1.0
modular_addition,49,lstm,layer_2,answer_class,10,1.0,1.0
modular_addition,49,gru,embedding,answer_class,10,0.217773,0.201172
modular_addition,49,gru,layer_1,answer_class,10,1.0,1.0
modular_addition,49,gru,layer_2,answer_class,10,1.0,1.0
dyck_1,42,transformer,embedding,max_depth,7,0.583496,0.544922
dyck_1,42,transformer,layer_1,max_depth,7,0.867188,0.865234
dyck_1,42,transformer,layer_2,max_depth,7,0.886719,0.869141
dyck_1,42,lstm,embedding,max_depth,7,0.583008,0.544922
dyck_1,42,lstm,layer_1,max_depth,7,1.0,0.978516
dyck_1,42,lstm,layer_2,max_depth,7,0.992188,0.974609
dyck_1,42,gru,embedding,max_depth,7,0.583008,0.544922
dyck_1,42,gru,layer_1,max_depth,7,1.0,0.992188
dyck_1,42,gru,layer_2,max_depth,7,0.984375,0.970703
dyck_1,43,transformer,embedding,max_depth,7,0.583008,0.544922
dyck_1,43,transformer,layer_1,max_depth,7,0.945312,0.931641
dyck_1,43,transformer,layer_2,max_depth,7,0.906738,0.896484
dyck_1,43,lstm,embedding,max_depth,7,0.583008,0.544922
dyck_1,43,lstm,layer_1,max_depth,7,1.0,0.988281
dyck_1,43,lstm,layer_2,max_depth,7,0.989746,0.96875
dyck_1,43,gru,embedding,max_depth,7,0.583008,0.544922
dyck_1,43,gru,layer_1,max_depth,7,0.981934,0.978516
dyck_1,43,gru,layer_2,max_depth,7,0.911133,0.896484
dyck_1,44,transformer,embedding,max_depth,7,0.648926,0.605469
dyck_1,44,transformer,layer_1,max_depth,7,0.92041,0.916016
dyck_1,44,transformer,layer_2,max_depth,7,0.907227,0.888672
dyck_1,44,lstm,embedding,max_depth,7,0.583008,0.544922
dyck_1,44,lstm,layer_1,max_depth,7,1.0,0.990234
dyck_1,44,lstm,layer_2,max_depth,7,0.986816,0.96875
dyck_1,44,gru,embedding,max_depth,7,0.583008,0.544922
dyck_1,44,gru,layer_1,max_depth,7,0.995605,0.982422
dyck_1,44,gru,layer_2,max_depth,7,0.974609,0.964844
dyck_1,45,transformer,embedding,max_depth,7,0.581543,0.544922
dyck_1,45,transformer,layer_1,max_depth,7,0.917969,0.916016
dyck_1,45,transformer,layer_2,max_depth,7,0.92334,0.916016
dyck_1,45,lstm,embedding,max_depth,7,0.583008,0.544922
dyck_1,45,lstm,layer_1,max_depth,7,1.0,0.976562
dyck_1,45,lstm,layer_2,max_depth,7,0.998047,0.982422
dyck_1,45,gru,embedding,max_depth,7,0.583008,0.544922
dyck_1,45,gru,layer_1,max_depth,7,1.0,0.972656
dyck_1,45,gru,layer_2,max_depth,7,0.999512,0.978516
dyck_1,46,transformer,embedding,max_depth,7,0.583008,0.544922
dyck_1,46,transformer,layer_1,max_depth,7,0.922852,0.908203
dyck_1,46,transformer,layer_2,max_depth,7,0.92334,0.890625
dyck_1,46,lstm,embedding,max_depth,7,0.583008,0.544922
dyck_1,46,lstm,layer_1,max_depth,7,1.0,0.980469
dyck_1,46,lstm,layer_2,max_depth,7,0.995605,0.966797
dyck_1,46,gru,embedding,max_depth,7,0.583008,0.544922
dyck_1,46,gru,layer_1,max_depth,7,1.0,0.984375
dyck_1,46,gru,layer_2,max_depth,7,1.0,0.964844
dyck_1,47,transformer,embedding,max_depth,7,0.583008,0.544922
dyck_1,47,transformer,layer_1,max_depth,7,0.95166,0.925781
dyck_1,47,transformer,layer_2,max_depth,7,0.935547,0.896484
dyck_1,47,lstm,embedding,max_depth,7,0.583008,0.544922
dyck_1,47,lstm,layer_1,max_depth,7,0.993164,0.976562
dyck_1,47,lstm,layer_2,max_depth,7,0.992188,0.966797
dyck_1,47,gru,embedding,max_depth,7,0.585938,0.529297
dyck_1,47,gru,layer_1,max_depth,7,1.0,0.990234
dyck_1,47,gru,layer_2,max_depth,7,0.909668,0.904297
dyck_1,48,transformer,embedding,max_depth,7,0.599121,0.552734
dyck_1,48,transformer,layer_1,max_depth,7,0.972656,0.955078
dyck_1,48,transformer,layer_2,max_depth,7,0.952148,0.931641
dyck_1,48,lstm,embedding,max_depth,7,0.583008,0.544922
dyck_1,48,lstm,layer_1,max_depth,7,0.996094,0.982422
dyck_1,48,lstm,layer_2,max_depth,7,0.987305,0.970703
dyck_1,48,gru,embedding,max_depth,7,0.583008,0.544922
dyck_1,48,gru,layer_1,max_depth,7,0.999023,0.978516
dyck_1,48,gru,layer_2,max_depth,7,0.983887,0.988281
dyck_1,49,transformer,embedding,max_depth,7,0.583984,0.544922
dyck_1,49,transformer,layer_1,max_depth,7,0.895508,0.892578
dyck_1,49,transformer,layer_2,max_depth,7,0.868164,0.839844
dyck_1,49,lstm,embedding,max_depth,7,0.583008,0.544922
dyck_1,49,lstm,layer_1,max_depth,7,0.999512,0.984375
dyck_1,49,lstm,layer_2,max_depth,7,0.981934,0.962891
dyck_1,49,gru,embedding,max_depth,7,0.583008,0.544922
dyck_1,49,gru,layer_1,max_depth,7,1.0,0.988281
dyck_1,49,gru,layer_2,max_depth,7,1.0,0.972656
dyck_2,42,transformer,embedding,max_depth,7,0.573242,0.541016
dyck_2,42,transformer,layer_1,max_depth,7,0.793945,0.755859
dyck_2,42,transformer,layer_2,max_depth,7,0.78125,0.742188
dyck_2,42,lstm,embedding,max_depth,7,0.573242,0.541016
dyck_2,42,lstm,layer_1,max_depth,7,0.980957,0.960938
dyck_2,42,lstm,layer_2,max_depth,7,0.939941,0.90625
dyck_2,42,gru,embedding,max_depth,7,0.573242,0.541016
dyck_2,42,gru,layer_1,max_depth,7,0.992188,0.966797
