task,architecture_pair,cross_cka_mean,within_baseline_mean,convergence_index
modular_addition,transformer_vs_lstm,0.4567,0.5555,0.8221
modular_addition,transformer_vs_gru,0.4849,0.4938,0.982
modular_addition,lstm_vs_gru,0.435,0.3345,1.3004
dyck_1,transformer_vs_lstm,0.5532,0.6853,0.8072
dyck_1,transformer_vs_gru,0.6261,0.7347,0.8522
dyck_1,lstm_vs_gru,0.6238,0.6343,0.9834
dyck_2,transformer_vs_lstm,0.3547,0.4353,0.8148
dyck_2,transformer_vs_gru,0.415,0.6092,0.6812
dyck_2,lstm_vs_gru,0.44,0.4246,1.0363
induction,transformer_vs_lstm,0.8097,0.8114,0.9979
induction,transformer_vs_gru,0.803,0.8039,0.9989
induction,lstm_vs_gru,0.8788,0.8799,0.9987
associative_recall,transformer_vs_lstm,0.8363,0.841,0.9944
associative_recall,transformer_vs_gru,0.6293,0.6119,1.0284
associative_recall,lstm_vs_gru,0.6637,0.6443,1.0301
