task,seed,architecture,train_loss,val_loss,val_accuracy
modular_addition,42,transformer,0.003552,0.001576,1.0
modular_addition,42,lstm,0.003835,0.003615,1.0
modular_addition,42,gru,0.004359,0.004052,1.0
modular_addition,43,transformer,0.003494,0.001661,1.0
modular_addition,43,lstm,0.004109,0.003799,1.0
modular_addition,43,gru,0.004424,0.004143,1.0
dyck_1,42,transformer,0.120057,0.102736,0.970703
dyck_1,42,lstm,0.000484,0.000324,1.0
dyck_1,42,gru,0.002894,0.001167,1.0
dyck_1,43,transformer,0.116546,0.093609,0.970703
dyck_1,43,lstm,0.000513,0.000333,1.0
dyck_1,43,gru,0.004363,0.00199,1.0
dyck_2,42,transformer,0.174428,0.141441,0.951172
dyck_2,42,lstm,0.009746,0.006417,1.0
dyck_2,42,gru,0.113312,0.130558,0.943359
dyck_2,43,transformer,0.152957,0.131162,0.958984
dyck_2,43,lstm,0.010413,0.001999,1.0
dyck_2,43,gru,0.088763,0.073512,0.96875
induction,42,transformer,0.725045,0.736129,0.503906
induction,42,lstm,0.70976,0.723502,0.519531
induction,42,gru,0.712004,0.723153,0.53125
induction,43,transformer,0.720332,0.704679,0.527344
induction,43,lstm,0.705721,0.696889,0.541016
induction,43,gru,0.708208,0.696714,0.542969
associative_recall,42,transformer,1.126134,1.144443,0.314453
associative_recall,42,lstm,1.111708,1.134055,0.361328
associative_recall,42,gru,1.113168,1.135064,0.371094
associative_recall,43,transformer,1.114056,1.133355,0.302734
associative_recall,43,lstm,1.114037,1.139621,0.345703
associative_recall,43,gru,1.106557,1.135558,0.341797
