task,seed,architecture,layer,target_name,num_classes,train_accuracy,val_accuracy
modular_addition,42,transformer,embedding,answer_class,10,0.1322,0.136719
modular_addition,42,transformer,layer_1,answer_class,10,1.0,1.0
modular_addition,42,transformer,layer_2,answer_class,10,1.0,1.0
modular_addition,42,lstm,embedding,answer_class,10,0.1322,0.136719
modular_addition,42,lstm,layer_1,answer_class,10,1.0,1.0
modular_addition,42,lstm,layer_2,answer_class,10,1.0,1.0
modular_addition,42,gru,embedding,answer_class,10,0.1322,0.136719
modular_addition,42,gru,layer_1,answer_class,10,1.0,1.0
modular_addition,42,gru,layer_2,answer_class,10,1.0,1.0
modular_addition,43,transformer,embedding,answer_class,10,0.1322,0.136719
modular_addition,43,transformer,layer_1,answer_class,10,0.9235,0.910156
modular_addition,43,transformer,layer_2,answer_class,10,1.0,1.0
modular_addition,43,lstm,embedding,answer_class,10,0.1322,0.136719
modular_addition,43,lstm,layer_1,answer_class,10,1.0,1.0
modular_addition,43,lstm,layer_2,answer_class,10,1.0,1.0
modular_addition,43,gru,embedding,answer_class,10,0.1322,0.136719
modular_addition,43,gru,layer_1,answer_class,10,1.0,1.0
modular_addition,43,gru,layer_2,answer_class,10,1.0,1.0
dyck_1,42,transformer,embedding,max_depth,7,0.5935,0.576172
dyck_1,42,transformer,layer_1,max_depth,7,0.9268,0.933594
dyck_1,42,transformer,layer_2,max_depth,7,0.9176,0.925781
dyck_1,42,lstm,embedding,max_depth,7,0.5683,0.544922
dyck_1,42,lstm,layer_1,max_depth,7,0.9945,0.986328
dyck_1,42,lstm,layer_2,max_depth,7,0.9893,0.986328
dyck_1,42,gru,embedding,max_depth,7,0.5683,0.544922
dyck_1,42,gru,layer_1,max_depth,7,0.9996,0.994141
dyck_1,42,gru,layer_2,max_depth,7,0.9728,0.964844
dyck_1,43,transformer,embedding,max_depth,7,0.5683,0.544922
dyck_1,43,transformer,layer_1,max_depth,7,0.943,0.951172
dyck_1,43,transformer,layer_2,max_depth,7,0.936,0.945312
dyck_1,43,lstm,embedding,max_depth,7,0.5683,0.544922
dyck_1,43,lstm,layer_1,max_depth,7,0.9974,0.986328
dyck_1,43,lstm,layer_2,max_depth,7,0.9714,0.970703
dyck_1,43,gru,embedding,max_depth,7,0.5683,0.544922
dyck_1,43,gru,layer_1,max_depth,7,0.9995,0.998047
dyck_1,43,gru,layer_2,max_depth,7,0.925,0.951172
dyck_2,42,transformer,embedding,max_depth,7,0.5643,0.541016
dyck_2,42,transformer,layer_1,max_depth,7,0.8601,0.845703
dyck_2,42,transformer,layer_2,max_depth,7,0.8075,0.833984
dyck_2,42,lstm,embedding,max_depth,7,0.5643,0.541016
dyck_2,42,lstm,layer_1,max_depth,7,0.967,0.96875
dyck_2,42,lstm,layer_2,max_depth,7,0.9292,0.923828
dyck_2,42,gru,embedding,max_depth,7,0.5643,0.541016
dyck_2,42,gru,layer_1,max_depth,7,0.9875,0.980469
dyck_2,42,gru,layer_2,max_depth,7,0.9786,0.970703
dyck_2,43,transformer,embedding,max_depth,7,0.5643,0.541016
dyck_2,43,transformer,layer_1,max_depth,7,0.8802,0.863281
dyck_2,43,transformer,layer_2,max_depth,7,0.886,0.904297
